id,category,question,expected_behavior,actual_answer,retrieved_sources,status,answer_accuracy,retrieval_relevance,groundedness,citation_correctness,hallucination,pass_fail,failure_type,notes
T01,Basic Factual,What is the investment objective of HDFC Mid Cap Fund?,Give the documented investment objective with source.,"The investment objective of HDFC Mid Cap Fund is to provide long term capital appreciation/income by investing predominantly in Mid-Cap companies, though there is no assurance that the investment objective of the scheme will be achieved. [Source 1, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 4,SUCCESS,2,2,2,2,2,PASS,,
T02,Basic Factual,What is the AUM of HDFC Mid Cap Fund?,Give the July 2026 AUM with source.,"The AUM of HDFC Mid Cap Fund is INR 105,142.69 Cr. as of July 2026 [Source 1, Page 1]. Additionally, the AUM as on 24th June, 2026 is ₹ 1,01,239 Crore [Source 3, Page 1].",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T03,Basic Factual,What is the investment objective of HDFC Small Cap Fund?,Give the documented investment objective with source.,"The investment objective of HDFC Small Cap Fund is to provide long-term capital appreciation /income by investing predominantly in Small-Cap companies, with no assurance that the investment objective of the Scheme will be achieved. [Source 1, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T04,Basic Factual,What is the AUM of HDFC Small Cap Fund?,Give the July 2026 AUM with source.,"The AUM of HDFC Small Cap Fund as of July 2026 is INR 41,679.00 Cr. [Source 1, Page 1]",HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,SUCCESS,2,2,2,2,2,PASS,,
T05,Basic Factual,What is the investment objective of HDFC Flexi Cap Fund?,Give the documented investment objective with source.,"The investment objective of HDFC Flexi Cap Fund is to generate capital appreciation / income from a portfolio, predominantly invested in equity and equity related instruments [Source 1, Page 1].",HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 3 || HDFC Flexi Cap Fund | HDFC_20Flexi_20Cap_20Fund-Presentation_20_28July_202026_29.pdf.pdf | Page 15,SUCCESS,2,2,2,2,2,PASS,,
T06,Basic Factual,What is the AUM of HDFC Large & Mid Cap Fund?,Give the July 2026 AUM with source.,"The AUM of HDFC Large & Mid Cap Fund as of July 2026 is INR 30,098.85 Cr. [Source 2, Page 1]",HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1,SUCCESS,2,2,2,2,2,PASS,,
T07,Basic Factual,What is the inception date of HDFC Mid Cap Fund?,Give the documented inception date with source.,I could not find enough information in the provided documents.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
T08,Basic Factual,What is the inception date of HDFC Balanced Advantage Fund?,Give the documented inception date with source.,"The inception date of HDFC Balanced Advantage Fund is February 1, 1994. [Source 3, Page 11]",HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 1 || HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 2 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 11,SUCCESS,2,2,2,2,2,PASS,,
T09,Basic Factual,Who is the fund manager of HDFC Mid Cap Fund?,Give the documented fund manager with source.,I could not find enough information in the provided documents.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
T10,Basic Factual,What benchmark does HDFC Balanced Advantage Fund use?,Give the documented benchmark with source.,I could not find enough information in the provided documents.,HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 1 || HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 2 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 11,SUCCESS,2,2,2,1,2,PASS,Citation Failure,"Answer appears grounded, but explicit source/page citation was not detected."
