id,category,question,expected_behavior,retrieved_sources,retrieved_chunks,retrieval_status,notes,retrieval_score,retrieval_notes
T01,Basic Factual,What is the investment objective of HDFC Mid Cap Fund?,Give the documented investment objective with source.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 4 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 15,5,PASS,,PASS,
T02,Basic Factual,What is the AUM of HDFC Mid Cap Fund?,Give the July 2026 AUM with source.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 15 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 9,6,PASS,,PASS,
T03,Basic Factual,What is the investment objective of HDFC Small Cap Fund?,Give the documented investment objective with source.,HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2,5,PASS,,PASS,
T04,Basic Factual,What is the AUM of HDFC Small Cap Fund?,Give the July 2026 AUM with source.,HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2,5,PASS,,PASS,
T05,Basic Factual,What is the investment objective of HDFC Flexi Cap Fund?,Give the documented investment objective with source.,HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 1 || HDFC Flexi Cap Fund | Fund Facts - HDFC Flexi Cap Fund_August 26.pdf | Page 3 || HDFC Flexi Cap Fund | HDFC_20Flexi_20Cap_20Fund-Presentation_20_28July_202026_29.pdf.pdf | Page 15 || HDFC Flexi Cap Fund | HDFC_20Flexi_20Cap_20Fund-Presentation_20_28July_202026_29.pdf.pdf | Page 3 || HDFC Flexi Cap Fund | HDFC_20Flexi_20Cap_20Fund-Presentation_20_28July_202026_29.pdf.pdf | Page 16,5,PASS,,PASS,
T06,Basic Factual,What is the AUM of HDFC Large & Mid Cap Fund?,Give the July 2026 AUM with source.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 1 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 10 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 10 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Large & Mid Cap Fund | Fund Facts - HDFC Large and Mid Cap Fund_August 26.pdf | Page 2 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 9 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 15 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 6 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 13 || HDFC Large & Mid Cap Fund | HDFC_20Large_20_26_20Mid_20Cap_20Fund_20-_20Presentation_20-_20August_202026_0.pdf.pdf | Page 1,14,PASS,,PASS,
T07,Basic Factual,What is the inception date of HDFC Mid Cap Fund?,Give the documented inception date with source.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 15 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 9,5,PASS,,PASS,
T08,Basic Factual,What is the inception date of HDFC Balanced Advantage Fund?,Give the documented inception date with source.,HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 1 || HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 2 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 11 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 1 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 2,5,PASS,,PASS,
T09,Basic Factual,Who is the fund manager of HDFC Mid Cap Fund?,Give the documented fund manager with source.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 17 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 4,5,PASS,,PASS,
T10,Basic Factual,What benchmark does HDFC Balanced Advantage Fund use?,Give the documented benchmark with source.,HDFC Balanced Advantage Fund | Fund Facts - HDFC Balanced Advantage Fund_Aug 26.pdf | Page 1 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 11 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 16 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 3 || HDFC Balanced Advantage Fund | Presentation - HDFC Balanced Advantage Fund (August 2026).pdf | Page 15,5,PASS,,PASS,
T11,Portfolio / Numbers,What are the top 10 holdings of HDFC Mid Cap Fund?,List the documented top holdings and percentages.,HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 1 || HDFC Mid Cap Fund | Fund Facts - HDFC Mid-Cap Fund_August 26.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 3 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 17 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 9 || HDFC Mid Cap Fund | HDFC_20Mid_20Cap_20Fund_20Presentation_20_28June_202026_29.pdf.pdf | Page 5,7,PASS,,PASS,
T12,Portfolio / Numbers,What are the top 10 holdings of HDFC Small Cap Fund?,List the documented top holdings and percentages.,HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 1 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 2 || HDFC Small Cap Fund | Fund Facts - HDFC Small Cap Fund_August 26.pdf | Page 3,5,PASS,,PASS,
